Лось Андрій Петрович;(044) 554 23 54;losik@i.ua;вул. Малишко,15;
"ТОВ ""Бубончики""";523 18 08;bub@gmail.com;вул. Нижній Вал, 3;
Ганжа Василь Васильович;098 578-35-69;men@i.ua;вул. Райжужна, 25;
Дусько Мірабелла Василівна;096 147 25 65;ledi@i.ua, dmv@gmail.com;вул. Будівельників, 14;
Петренко Олександр Олексанрович;38 0522 123-74-87;777@i.ua;вул. Жрещатик, 17;
"ТОВ ""Бджілка""";471 52 13;gygy@mail.ru;вул. Кукушкіна, 7;
Валовенко Сашко Олегович;500 874-98-69;logo@iua;вул. Кольорова, 4;
Пупкін Валерій Максимович;471 45 78;;вул. Дружби, 2;
Перепелиця Євген Миколайович;147 25 87;147@i.ua;вул. Жовтня, 5;
Матроскін Коля;38 050 478 23 65;123456@mail.ru;c. Простоквашино;немає вулиці
Федот Морковкін;098 458-74-85;cool@gmail.com;вул. Глушка, 3;
